DATE,CPIAUCSL_NBD20231001
1947-01-01,0.07042510000000000000
1947-04-01,0.07143120000000000000
1947-07-01,0.07298900000000000000
1947-10-01,0.07505520000000000000
1948-01-01,0.07664550000000000000
1948-04-01,0.07786790000000000000
1948-07-01,0.07917690000000000000
1948-10-01,0.07845210000000000000
1949-01-01,0.07770560000000000000
1949-04-01,0.07761910000000000000
1949-07-01,0.07697000000000000000
1949-10-01,0.07678610000000000000
1950-01-01,0.07654810000000000000
1950-04-01,0.07713230000000000000
1950-07-01,0.07854940000000000000
1950-10-01,0.08013970000000000000
1951-01-01,0.08339590000000000000
1951-04-01,0.08420720000000000000
1951-07-01,0.08416400000000000000
1951-10-01,0.08540800000000000000
1952-01-01,0.08573260000000000000
1952-04-01,0.08595980000000000000
1952-07-01,0.08654390000000000000
1952-10-01,0.08664130000000000000
1953-01-01,0.08639250000000000000
1953-04-01,0.08671700000000000000
1953-07-01,0.08711730000000000000
1953-10-01,0.08726870000000000000
1954-01-01,0.08747430000000000000
1954-04-01,0.08733360000000000000
1954-07-01,0.08710650000000000000
1954-10-01,0.08683600000000000000
1955-01-01,0.08695500000000000000
1955-04-01,0.08683600000000000000
1955-07-01,0.08690090000000000000
1955-10-01,0.08716060000000000000
1956-01-01,0.08717140000000000000
1956-04-01,0.08774470000000000000
1956-07-01,0.08865340000000000000
1956-10-01,0.08941070000000000000
1957-01-01,0.09014630000000000000
1957-04-01,0.09091440000000000000
1957-07-01,0.09172580000000000000
1957-10-01,0.09216930000000000000
1958-01-01,0.09326190000000000000
1958-04-01,0.09388930000000000000
1958-07-01,0.09383530000000000000
1958-10-01,0.09393260000000000000
1959-01-01,0.09409490000000000000
1959-04-01,0.09425720000000000000
1959-07-01,0.09474400000000000000
1959-10-01,0.09531730000000000000
1960-01-01,0.09540390000000000000
1960-04-01,0.09597720000000000000
1960-07-01,0.09603130000000000000
1960-10-01,0.09664790000000000000
1961-01-01,0.09684270000000000000
1961-04-01,0.09681020000000000000
1961-07-01,0.09718880000000000000
1961-10-01,0.09732950000000000000
1962-01-01,0.09770810000000000000
1962-04-01,0.09807590000000000000
1962-07-01,0.09835720000000000000
1962-10-01,0.09859520000000000000
1963-01-01,0.09890890000000000000
1963-04-01,0.09909280000000000000
1963-07-01,0.09969860000000000000
1963-10-01,0.09996910000000000000
1964-01-01,0.10038010000000000000
1964-04-01,0.10054240000000000000
1964-07-01,0.10076960000000000000
1964-10-01,0.10123480000000000000
1965-01-01,0.10154850000000000000
1965-04-01,0.10219760000000000000
1965-07-01,0.10250050000000000000
1965-10-01,0.10304140000000000000
1966-01-01,0.10400420000000000000
1966-04-01,0.10494530000000000000
1966-07-01,0.10585400000000000000
1966-10-01,0.10671950000000000000
1967-01-01,0.10698990000000000000
1967-04-01,0.10763900000000000000
1967-07-01,0.10872080000000000000
1967-10-01,0.10991080000000000000
1968-01-01,0.11099260000000000000
1968-04-01,0.11207440000000000000
1968-07-01,0.11358890000000000000
1968-10-01,0.11499530000000000000
1969-01-01,0.11640160000000000000
1969-04-01,0.11824060000000000000
1969-07-01,0.11986330000000000000
1969-10-01,0.12170240000000000000
1970-01-01,0.12364960000000000000
1970-04-01,0.12538050000000000000
1970-07-01,0.12667870000000000000
1970-10-01,0.12851770000000000000
1971-01-01,0.12959950000000000000
1971-04-01,0.13078950000000000000
1971-07-01,0.13208770000000000000
1971-10-01,0.13306130000000000000
1972-01-01,0.13414310000000000000
1972-04-01,0.13500850000000000000
1972-07-01,0.13609030000000000000
1972-10-01,0.13749670000000000000
1973-01-01,0.13966030000000000000
1973-04-01,0.14258110000000000000
1973-07-01,0.14539380000000000000
1973-10-01,0.14907190000000000000
1974-01-01,0.15350730000000000000
1974-04-01,0.15761810000000000000
1974-07-01,0.16205350000000000000
1974-10-01,0.16702980000000000000
1975-01-01,0.17059970000000000000
1975-04-01,0.17265510000000000000
1975-07-01,0.17611690000000000000
1975-10-01,0.17936230000000000000
1976-01-01,0.18141770000000000000
1976-04-01,0.18304040000000000000
1976-07-01,0.18596130000000000000
1976-10-01,0.18866580000000000000
1977-01-01,0.19212750000000000000
1977-04-01,0.19548110000000000000
1977-07-01,0.19818560000000000000
1977-10-01,0.20110650000000000000
1978-01-01,0.20456820000000000000
1978-04-01,0.20922000000000000000
1978-07-01,0.21408810000000000000
1978-10-01,0.21906430000000000000
1979-01-01,0.22458150000000000000
1979-04-01,0.23172140000000000000
1979-07-01,0.23918580000000000000
1979-10-01,0.24675840000000000000
1980-01-01,0.25649460000000000000
1980-04-01,0.26514900000000000000
1980-07-01,0.27012530000000000000
1980-10-01,0.27769780000000000000
1981-01-01,0.28537860000000000000
1981-04-01,0.29132850000000000000
1981-07-01,0.29944200000000000000
1981-10-01,0.30431010000000000000
1982-01-01,0.30701460000000000000
1982-04-01,0.31145000000000000000
1982-07-01,0.31685900000000000000
1982-10-01,0.31783260000000000000
1983-01-01,0.31804900000000000000
1983-04-01,0.32172710000000000000
1983-07-01,0.32486430000000000000
1983-10-01,0.32810970000000000000
1984-01-01,0.33276140000000000000
1984-04-01,0.33589860000000000000
1984-07-01,0.33881950000000000000
1984-10-01,0.34174040000000000000
1985-01-01,0.34487760000000000000
1985-04-01,0.34801480000000000000
1985-07-01,0.35017840000000000000
1985-10-01,0.35374830000000000000
1986-01-01,0.35558740000000000000
1986-04-01,0.35385650000000000000
1986-07-01,0.35602010000000000000
1986-10-01,0.35850820000000000000
1987-01-01,0.36283540000000000000
1987-04-01,0.36694630000000000000
1987-07-01,0.37084080000000000000
